business_id,name,segment,segment_name
2M4pYfuivdluXyBOP7IDQw,Look Hair Care Studio,1,Steady Mainstream Favorites
i_cFU5_dQexbjJA9rmf_WA,Marcie Blaine,1,Steady Mainstream Favorites
tUl_Lq8dM3T-NnM-u3szSg,Damaso Painting,1,Steady Mainstream Favorites
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,2,High-Traffic Bars & Nightlife
dK_qONtd5z73i6fQ1BTrTA,Draino,0,Struggling / Mixed-Experience Businesses
xDEee0p41GueCDN0EAp-YA,Phone Repair Philly - Center City,1,Steady Mainstream Favorites
oy-n3wkXeK6NPPKf3uRDTQ,Element Granite & Quartz,1,Steady Mainstream Favorites
0WIlsDUUFuUKcDfJPaHRkA,Temple University Hospital ,0,Struggling / Mixed-Experience Businesses
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,1,Steady Mainstream Favorites
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,1,Steady Mainstream Favorites
yUEeh9nwaycI6fKLruD_rQ,Silvio Hair Styling For Men,0,Struggling / Mixed-Experience Businesses
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,1,Steady Mainstream Favorites
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,2,High-Traffic Bars & Nightlife
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,1,Steady Mainstream Favorites
CPgWuWGZ4v2sZr5_-1kluw,Checkers,0,Struggling / Mixed-Experience Businesses
gu2-TPPdyQyHl2CnPb7Xjg,4th Street Nails,1,Steady Mainstream Favorites
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,1,Steady Mainstream Favorites
Oy7rU9H76PN1hsDU9EUt5g,Philadelphia Room Escape,1,Steady Mainstream Favorites
PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,1,Steady Mainstream Favorites
xY0jpu0zzGEBr-bGBdPs-w,University Crossings,0,Struggling / Mixed-Experience Businesses
yFqq66GxRjnhZXPgjA6hnw,KFC,0,Struggling / Mixed-Experience Businesses
rh3C_JK4NAoUJ-HNStvHtw,"Historic Philadelphia, Inc",1,Steady Mainstream Favorites
xHspDrdyq1g27yRDezB5yA,Kaiserman JCC,0,Struggling / Mixed-Experience Businesses
wR8V8u3_wv-yjR-CIHyY0Q,The Collins Apartments,1,Steady Mainstream Favorites
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,1,Steady Mainstream Favorites
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,0,Struggling / Mixed-Experience Businesses
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,2,High-Traffic Bars & Nightlife
5bCsL-Z3QnuBmJQtIt8qyw,Pacifico Hyundai,0,Struggling / Mixed-Experience Businesses
PdMXmOWDRHICAx6SLgu1dQ,24,2,High-Traffic Bars & Nightlife
uzpiSVy6DTQBNByAhT0Z2Q,Holiday Nail Salon,1,Steady Mainstream Favorites
4mKAD2m2ek-z51ZPqL6-aw,Richard Kenneth Jewelers,0,Struggling / Mixed-Experience Businesses
HQolH8hSvmK8mhZc0bYVRw,Global Appliance Parts,1,Steady Mainstream Favorites
v2UmYZ1rPT48IroaD0xZAQ,reYOU massage,1,Steady Mainstream Favorites
z7sp6u5JnNlq2ziu31EFvw,CVS Optical,0,Struggling / Mixed-Experience Businesses
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,1,Steady Mainstream Favorites
F6hASqb_Z5ASXz0-pZFlfA,Edible Arrangements,1,Steady Mainstream Favorites
LvFmVnPSbi0lmgpcK_qw-Q,Foot Locker,0,Struggling / Mixed-Experience Businesses
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,1,Steady Mainstream Favorites
MYoRNLb5chwjQe3c_k37Gg,Sean Thorntons Public House,2,High-Traffic Bars & Nightlife
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,2,High-Traffic Bars & Nightlife
zyge4T5eSiPHq1-IaJb_Qg,Nancy Le Nails,0,Struggling / Mixed-Experience Businesses
PkaxfjwdWKL02xkK2UGxNw,Aicha African Hair Braiding,1,Steady Mainstream Favorites
TF4IyHKK05m5rXENCK94nA,More Than Old,1,Steady Mainstream Favorites
73vXXe4MbpHhq_2_uiHIrQ,4J Laundromat,1,Steady Mainstream Favorites
Htnv87XCc9GXuE6hKEHnNg,Caring Hands Veterinary Clinic,1,Steady Mainstream Favorites
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,1,Steady Mainstream Favorites
x7R0FReViemWjQO581WI5A,Debbie's Pet Sitting,1,Steady Mainstream Favorites
RrqRin8BYGrTlJbCDwtLzA,Wawa,1,Steady Mainstream Favorites
IgNDlyLERBwFGphgcC5VDQ,Cosi,1,Steady Mainstream Favorites
Tr1K019SoddjZegRv7vy2w,James Brown Hair,1,Steady Mainstream Favorites
SvcWlFeXbSNkENnZfWYgEQ,willow + june hair,1,Steady Mainstream Favorites
0QmgzzPVNHeNL76B8rwTKA,Beneficial Bank,0,Struggling / Mixed-Experience Businesses
sDOxVq8gQBpHFYtoxwoLWw,Plume Salon,1,Steady Mainstream Favorites
PmASdGXX3XVokN2q92JIXg,L Priori Jewelry,1,Steady Mainstream Favorites
EraDGJAHjf5IaA9VBGepfg,"East Falls Chiropractic: Zachary Dillow, D.C",1,Steady Mainstream Favorites
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,1,Steady Mainstream Favorites
IOroNIZhOtGM9nWMT3PaNA,House of Beauty,0,Struggling / Mixed-Experience Businesses
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,0,Struggling / Mixed-Experience Businesses
fN1xl3d8EdFRpyE1NVI2nw,Feet First Team Building,1,Steady Mainstream Favorites
lKlRRS26_eTA_eCjrWBT4w,Shibe Vintage Sports,1,Steady Mainstream Favorites
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,2,High-Traffic Bars & Nightlife
4TQMOy00KD_54xSFwKgMZw,Ndulge,1,Steady Mainstream Favorites
-BhSR6dAry5-2x3ndjX_9w,Meister's Barber Shop,1,Steady Mainstream Favorites
cIKRTajdQv_MviWXdE_m4g,BehatiLife,1,Steady Mainstream Favorites
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,2,High-Traffic Bars & Nightlife
6Bos3UU5heFlqySLcYvwnw,Budget Car Rental,0,Struggling / Mixed-Experience Businesses
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,1,Steady Mainstream Favorites
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,1,Steady Mainstream Favorites
I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,1,Steady Mainstream Favorites
12kD46cnLyMXUQTCI2N0ug,P&P Grocery,1,Steady Mainstream Favorites
0346ZLBXCnsGief7r2kmQQ,Salon Tenshi,1,Steady Mainstream Favorites
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,1,Steady Mainstream Favorites
FppJo5aymUsfOg68uTOipw,The Inn at The Union League,1,Steady Mainstream Favorites
RMm5FeJpYGZlGJIVsqz0Yw,Intelligent Movers,0,Struggling / Mixed-Experience Businesses
tFh0DrDMTom4B3pHpDpRNQ,Platoon Fitness,1,Steady Mainstream Favorites
-IRJAg0tkspFukxKY87TBA,Blue Mountain Vineyards & Cellars,1,Steady Mainstream Favorites
N1ZXhAVzOzbyCBPEXTaUUw,Tandoor Authentic Indian Restaurant,1,Steady Mainstream Favorites
e7PUSXlcOfel8c7sPIA28w,Sheffield Tavern,2,High-Traffic Bars & Nightlife
nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,1,Steady Mainstream Favorites
afmMy0m-mH9uNUxaZZAKpQ,Chestnut Nail,0,Struggling / Mixed-Experience Businesses
y44MbCvvtmg1FpkNGSWisw,Tony's Luke,0,Struggling / Mixed-Experience Businesses
xb-qtXVZ7xFr51Se5fAZjg,Saige Café,1,Steady Mainstream Favorites
FeEYBozUzyVGisE3HPGbBg,Liz Clark Real Estate,1,Steady Mainstream Favorites
LSdg7x7HhUdvYUevvYVHjQ,Sunoco,1,Steady Mainstream Favorites
hlqnFy34n8tnVNMq-pO34g,Best IT Guru,0,Struggling / Mixed-Experience Businesses
n30JyruJKfbIeSReuYQloQ,21 M Salon,1,Steady Mainstream Favorites
icbe_DxKtXG2p3KlJsqYig,Margarita's Beauty Salon,1,Steady Mainstream Favorites
irH-OtXTEkR6Ovjs0YD8DA,Thomas Lofts,0,Struggling / Mixed-Experience Businesses
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,1,Steady Mainstream Favorites
2N_54QEPZiqT_A-kgCLzSQ,Great Nails & Spa,0,Struggling / Mixed-Experience Businesses
iefY4RDGOZrATgYaXqbx8w,Bath & Body Works,1,Steady Mainstream Favorites
mVEu88jgK1Y6A5fmJbydkw,Floating World Tattoo & Body Piercing,1,Steady Mainstream Favorites
X46tKBT7vTEGeaYj6GkZ-g,Philadelphia Independents,1,Steady Mainstream Favorites
1PIu-evesG5ZQQoHtXUXiQ,My Auto Dents,1,Steady Mainstream Favorites
WZEhrN61ajiq-7MuUCGyuw,"Mark Watkins, DO",1,Steady Mainstream Favorites
he6ypFmnUF95PlNUWT6i5g,TJ Maxx,1,Steady Mainstream Favorites
dE_MaaYrXBAEebtH2u_B-w,Wilson's Market,1,Steady Mainstream Favorites
w3R4cgg_HPI0F55PCLpufA,Green Street Property Management,0,Struggling / Mixed-Experience Businesses
68ThEdiK0eWCEgGEmV9Tng,Southgate,2,High-Traffic Bars & Nightlife
vDqnQGBfPUOUichR2KbDTg,Bizzy B Handyman & Painting Services,0,Struggling / Mixed-Experience Businesses
8fTaOcdyJwJJtN7dbRNpiw,Video Library,1,Steady Mainstream Favorites
zQKzntycRKXbDHSjrwkYkw,Poison Apple Tattoos,1,Steady Mainstream Favorites
USyJiGIvZ8fHjRVaVTu1Zw,Tony Jr's,1,Steady Mainstream Favorites
u8ZsK3py4y9xEOk-vox2ZA,Iheoma Esochi J DDS,1,Steady Mainstream Favorites
cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,1,Steady Mainstream Favorites
ZrkdPWQicriMCcDVDX0dCA,Retro Fitness,1,Steady Mainstream Favorites
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,1,Steady Mainstream Favorites
evZKyAZ4UePe8RLPzBDcbg,Suds and Swagger,1,Steady Mainstream Favorites
NQn_dGaMlvbQGwgAA6t85w,The Glen At Shawmont Station,0,Struggling / Mixed-Experience Businesses
pCmaISSyKum22MOtPOxL-w,Philadelphia Phillies,1,Steady Mainstream Favorites
aurl4I40YVQfQ8loOdgKCg,Crown Fried Chicken,1,Steady Mainstream Favorites
ctDyeSkk2VMEbRogxAtYFw,Pennsylvania Oral Surgery & Dental Implant Centers,0,Struggling / Mixed-Experience Businesses
tThP9jkCZHTrFvwEhGeKzw,Divine Creations Unisex Salon,1,Steady Mainstream Favorites
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,1,Steady Mainstream Favorites
Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,1,Steady Mainstream Favorites
qluIWCzDpeZfddykm_2gYg,North American Motor Inns,0,Struggling / Mixed-Experience Businesses
Bw0cpnfI-Y9QmjWzqS-oFg,Izumi,1,Steady Mainstream Favorites
wh9WMoi0ukhQy-kvjpC4uQ,Apex Inspections,1,Steady Mainstream Favorites
1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,1,Steady Mainstream Favorites
3VKE0_-KhU_qMYHxcyVcDg,Just To Serve You Too,1,Steady Mainstream Favorites
rApVTXXz2sUrNfDAMAIeNQ,Yoga Sutra,0,Struggling / Mixed-Experience Businesses
Mw4seO5ZXpAIHxVnWzkoOw,Apartments By Lego,0,Struggling / Mixed-Experience Businesses
kgMEBZG6rjkGeFzPaIM4MQ,McDonald's,0,Struggling / Mixed-Experience Businesses
2xILZFIFZsPIxNkKH8aJ6g,Kia on the Boulevard,0,Struggling / Mixed-Experience Businesses
2OB9O5u6yrBXw4V03si_OA,KS Optical Group,1,Steady Mainstream Favorites
fKDV_dlDhXd7P5kZi97Kng,The Spot,1,Steady Mainstream Favorites
XgLrkmIqIrD_pl67lAovEQ,The Bourse,0,Struggling / Mixed-Experience Businesses
usFEKg4-2C48qPIh32HbHA,Fine Wine & Good Spirits - Premium Collection,0,Struggling / Mixed-Experience Businesses
_IYHl6J9iB3lbeJq27pbsg,Taqueria La Hacienda,0,Struggling / Mixed-Experience Businesses
ZyyExneJPXjci7yc2CGAPQ,Cups & Chairs,1,Steady Mainstream Favorites
Ryt1Fhgz7sixMQSJiLyP_g,Zocalo,1,Steady Mainstream Favorites
B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,1,Steady Mainstream Favorites
Bb3F76xkJrA-IwXLNK52RQ,Alchemy Coffee,1,Steady Mainstream Favorites
y7qvy9LcyK2hr_VcPBiPaQ,Bicycle Revolutions,1,Steady Mainstream Favorites
F6lNQPwg4gyg76wNyimxjQ,Ride The Ducks,1,Steady Mainstream Favorites
AAFofLiyt_K1Ar_eEuVc7g,Crowne Plaza Hotel Philadelphia Downtown,0,Struggling / Mixed-Experience Businesses
XZN4nllA4qMdXVHy_-nqHg,Jefferson Dental Associates,1,Steady Mainstream Favorites
-fqjV6QqrKLUxpYCJoSsOQ,GameStop,1,Steady Mainstream Favorites
DVhjFN8N-jpw_EC_-Uoxjg,Hill Counseling,0,Struggling / Mixed-Experience Businesses
3Lf3nWp9TcIj7hvw9YZeMA,Cannuli's Quality Meats & Poultry,1,Steady Mainstream Favorites
NouhbGP5s17DZ9hExLYAkA,Dairy Queen,1,Steady Mainstream Favorites
KAZ2Z3831eb5lHtUDKa8kA,Saladworks,1,Steady Mainstream Favorites
cLlBDZxYJ1dt1JgMuZnXew,Olly,2,High-Traffic Bars & Nightlife
V5KiEoH4E86GA2S3RQkf1g,Spice Grill,1,Steady Mainstream Favorites
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,1,Steady Mainstream Favorites
2Eb8aKOZROAPkWxsBXf_qQ,Vista Auto Group,0,Struggling / Mixed-Experience Businesses
icp_IKE9zIkAqAucyS1vTA,Hakka Beef House,1,Steady Mainstream Favorites
h5-Ay4V4XbRu-MvWyYC5yQ,The Groomin Room,1,Steady Mainstream Favorites
2oav5QoWgnvTI2gO5xFMjw,Kimpton Hotel Monaco Philadelphia,1,Steady Mainstream Favorites
f8xDi3rajxvIqS73N93Afw,Guavaberry Foods & Drinks ,1,Steady Mainstream Favorites
A0F-h3xJm_6gHDKcDQwSrQ,Capogiro Gelato,1,Steady Mainstream Favorites
PGCTib7KxDctvNnQry_iDA,Majestic Ballroom,0,Struggling / Mixed-Experience Businesses
SPWyzJPFP2TT7x0BsqaBqQ,Chenango Restaurant & Bar,2,High-Traffic Bars & Nightlife
Knt2mnsG15akKb9cjSiuxw,John's Seafood,1,Steady Mainstream Favorites
W_ZwRjARpALtXUlSW90tIg,B & A Archery,1,Steady Mainstream Favorites
twrAccrzOnaRtS_UaZhwTw,FurnitureXO.com,0,Struggling / Mixed-Experience Businesses
ugSVRAKO6mxvsrElFg8USw,México Lindo,1,Steady Mainstream Favorites
Bc3zpRSQ_1i18SDI1eb9cA,The Somers Team,1,Steady Mainstream Favorites
E9NdANM1gVijPPkl1K2CDg,Deluxe Hair Salon,1,Steady Mainstream Favorites
mpVZG520RL-K1YeQi55ZPg,The Blarney Stone,2,High-Traffic Bars & Nightlife
9VRg8Ho9SoZWKPmjfrpVmw,Forman Mills,0,Struggling / Mixed-Experience Businesses
duf2PORLOL6it1dTGhSnKA,Junes Breakfast,1,Steady Mainstream Favorites
Ye0slMJ56gXMZChM9mU6QA,New Frontier Outfitters,1,Steady Mainstream Favorites
klGvxx2XmKkd-9mdRZoGVA,The Comcast Experience HD Video Wall,1,Steady Mainstream Favorites
_7txbYafymgB-xqbsdWJjA,Jinxed Fishtown,1,Steady Mainstream Favorites
LsGhInbkQ8jUNn-defi_fg,Dynamite Braids Hair Salon & Spa,0,Struggling / Mixed-Experience Businesses
bKppmYKQ_-9cpp2yziB-Qw,Lincoln Chicken Pizza And Grill,0,Struggling / Mixed-Experience Businesses
K8b2MQ5Az59-nzvqUfjJEQ,The Farm and Fisherman,1,Steady Mainstream Favorites
We57TJLl3BEo2gII0TWVQA,"Dodd William A, DMD",0,Struggling / Mixed-Experience Businesses
00Vn4VUTWl71_cFPziRQNQ,Crab & Claw,0,Struggling / Mixed-Experience Businesses
s55Hw6gHhQzZctinFhPu-g,Urban Eatery,0,Struggling / Mixed-Experience Businesses
n6dw_zxL_4cVO6EP_m0joQ,Dragon House,1,Steady Mainstream Favorites
agTcS5LYZJe4gNiXK6nNkw,Buca D’Oro ,1,Steady Mainstream Favorites
6SGw7TF7F4q4Uc2cuGvwIA,Z Brothers Service Center,0,Struggling / Mixed-Experience Businesses
Zk_GdMMPgEfKUECCxAxvwQ,Pho Nam Giang,1,Steady Mainstream Favorites
6vdj6TAQv82kXE6MEUg7tA,Energy Plus Holdings,0,Struggling / Mixed-Experience Businesses
PxEiXqMAzzvp8GFlb5EoLg,Grain Exchange,2,High-Traffic Bars & Nightlife
ErWSqXjjX55CvAsTiVL4yw,Minima,1,Steady Mainstream Favorites
AWGuQflJGycjeHfOZjAVUQ,Temple ReadyCare - Cottman Avenue,0,Struggling / Mixed-Experience Businesses
s_NhHDVXGyZ1mjTu4D9fXA,Chestnut Hill Escape Room,1,Steady Mainstream Favorites
ZT8ZBNvjV6OVheYOZcT10w,Oregon Laundromat,1,Steady Mainstream Favorites
kfcz8iJOkltAvkp6TqNMcA,Fairmount Pet Shoppe,1,Steady Mainstream Favorites
9xPFNAQ5vG7PG0VD2rdoIA,City Hydration,1,Steady Mainstream Favorites
w0zKpH49tW6Y-b6ZJzKMFw,Chuck's Alibi,0,Struggling / Mixed-Experience Businesses
rQ2CSHRkZSn5WCu7OfVI-Q,Trend Eye Care,1,Steady Mainstream Favorites
eqNutOMnPqKa9QDAY6KfEw,J'aime French Bakery,1,Steady Mainstream Favorites
WiF0TF-648bQsZ0dYyhpXw,Retail Express,0,Struggling / Mixed-Experience Businesses
BmRiZG7YUTQ1lfK61J6zLA,William Way Community Center,0,Struggling / Mixed-Experience Businesses
sfbg2kxnvKpmlIuCUas5TA,Lucky Wok Restaurant,1,Steady Mainstream Favorites
gpOUCroDdMBXM_Hav3FFXA,Simple Solutions Home Repairs,1,Steady Mainstream Favorites
DrVl5UFuhbud0DGTzCiUDg,Mattei Tire Co,0,Struggling / Mixed-Experience Businesses
5YGfTrvNftNIS7qAF9qikA,Z Dog Day Care,1,Steady Mainstream Favorites
8cLbpSZOHnmzxzDNSBGQCA,About BBQ,1,Steady Mainstream Favorites
S5zpryZNidOZUFcfznfhaQ,I Like To Move It,0,Struggling / Mixed-Experience Businesses
CB7nXPd5h_YLzcgfDo2DCg,Mike's Breakfast,1,Steady Mainstream Favorites
C2KhibuDzv3HJvZubkHTJA,Village Thrift Stores,1,Steady Mainstream Favorites
i5DH8fyS7JTu61qrIgRRWA,Urban Princess Boutique,1,Steady Mainstream Favorites
ttLa_rs6CZOcBZN_XWEAwQ,MSB Roofing,0,Struggling / Mixed-Experience Businesses
7lwe7n-Yc-V9E_HfLAeylg,Pub & Kitchen,2,High-Traffic Bars & Nightlife
0kLivwqFCIAb2V7Vhndpow,Dentistry For Life,1,Steady Mainstream Favorites
o4_cgIKWgvJ09TZeSzARmg,Quality Pizza,0,Struggling / Mixed-Experience Businesses
5m3ND7lNNd6zo-bNQGoXhQ,Three 12 Sport Bar and Lounge,2,High-Traffic Bars & Nightlife
IDGg4Ax0iMYBtSKRP0tBbg,Germantown Pizza,1,Steady Mainstream Favorites
7J81xJFlMM244_f05k2egw,Hammerheads Bar & Grille,2,High-Traffic Bars & Nightlife
Sv1VsMRwedFaRgodPlmBVA,In Style Hair Studio,1,Steady Mainstream Favorites
oBhJuukGRqPVvYBfTkhuZA,Square 1682,2,High-Traffic Bars & Nightlife
e0aGg7U132XQRup2qa0Ztg,Archway Sandwich Shop,1,Steady Mainstream Favorites
04UD14gamNjLY0IDYVhHJg,Dmitri's,1,Steady Mainstream Favorites
7sKfrJmjG6unAQeWdQUe2w,Franzone's Pizzeria & Restaurant,1,Steady Mainstream Favorites
pXb7pDVPayyElIqVlh1FOg,Brown Chicken Brown Cow,1,Steady Mainstream Favorites
swiwJRUQHt79dJ5hqAERtQ,Total Serenity Day Spa,0,Struggling / Mixed-Experience Businesses
Xas13kiNejlJtRdejpZ22g,Enterprise Rent-A-Car,0,Struggling / Mixed-Experience Businesses
14ZGwnDyydXdSBsLXpSUrA,Vientiane Café,1,Steady Mainstream Favorites
FKlNp7sCdEIt8_tQ5AzXDg,Temple University Hospital - Episcopal Campus,0,Struggling / Mixed-Experience Businesses
dKfMKFaiHC_9XLHdqhFN2w,The Sporting Club at the Bellevue,0,Struggling / Mixed-Experience Businesses
4NjPz9bJzll1FMIi2bw8HA,Sonam,1,Steady Mainstream Favorites
i221dg3tgAMZLG-zeS5k3g,Menchie's Frozen Yogurt,1,Steady Mainstream Favorites
syB4xhM0hiaib19fucneBA,B & W Locksmith,1,Steady Mainstream Favorites
XDvsDfLRddgpayKv7Mcn-g,Philadelphia Parking Authority,0,Struggling / Mixed-Experience Businesses
96752mk7VlAUtWg8o02Tvw,Center City Pediatrics,0,Struggling / Mixed-Experience Businesses
tzVLTQNUtiCAxUZmEuF0vQ,1 Tippling Place,2,High-Traffic Bars & Nightlife
AY1SyySRyTnBwBdf7qfGxQ,Citi Market place,1,Steady Mainstream Favorites
kCK5pdQCh56eCnWpLcNt9g,Moday Center for Functional and Integrative Medicine,1,Steady Mainstream Favorites
9XpU6r6ATXSWYfbU7kibaQ,Passero's Coffee Roasters,1,Steady Mainstream Favorites
sD2yBIzp0SNYRMD4QfH9Jw,Starbucks,0,Struggling / Mixed-Experience Businesses
cz0sBSp8G2R2dqE6cccbuw,Wit or Witout Cheesesteaks,1,Steady Mainstream Favorites
Lro-qULT-oa4Oz36p1yTwA,Johnny G's Pizza,0,Struggling / Mixed-Experience Businesses
FzrbnV-9y0LkksceBa863g,Academy Chiropractic Center,1,Steady Mainstream Favorites
x5RQogP-uQrhW0cFRkZuPQ,Labcorp,0,Struggling / Mixed-Experience Businesses
1k3SQfqkQHzaDihUBG2_og,Color Nail & Spa,1,Steady Mainstream Favorites
LiisV3YRS4CrVbMeEbn-sQ,Realty World Properties,0,Struggling / Mixed-Experience Businesses
2X6HUYGV7Djr_TFX6uYebA,Philadelphia Sports Network,1,Steady Mainstream Favorites
Yl4Am6NhqWo_YMmo1SyU5A,Domino's Pizza,0,Struggling / Mixed-Experience Businesses
ld1b8y_PHH6Mn_e7T0u04g,Gachi Sushi and Noodle,1,Steady Mainstream Favorites
